EAR       	MAR	       Label
0.362239701	0.010146585	0
0.31975314	0.015786644	0
0.291894855	0.022245774	0
0.302921776	0.025386686	0
0.307687466	0.018454703	0
0.302723584	0.02573186	0
0.314674993	0.030004667	0
0.298359956	0.022438918	0
0.298495055	0.01797824	0
0.285544442	0.019991679	0
0.294544299	0.017293182	0
0.329230959	0.01086483	0
0.288409062	0.006213696	0
0.475458471	0.062077207	0
0.289293691	0.014158683	0
0.279779784	0.008252117	0
0.290555344	0.009915567	0
0.2753704	0.031518313	0
0.273448357	0.04219854	0
0.257799677	0.012980803	0
0.284409999	0.017745929	0
0.244694809	0.019897229	0
0.244484738	0.022465726	0
0.289824902	0.021500395	0
0.321931903	0.021713014	0
0.307242023	0.221841431	0
0.320980628	0.068055186	0
0.269953375	0.006975759	0
0.299578874	0.012314447	0
0.303723271	0.001813226	0
0.291182155	0.06377786	0
0.278285342	0.023753396	0
0.288154065	0.012529088	0
0.304767198	0.024006864	0
0.406285504	0.141666889	0
0.333894662	0.01541514	0
0.356993992	0.125303537	0
0.595775583	0.153433213	0
0.319345512	0.209351326	0
0.302167495	0.016161497	0
0.299709697	0.003653041	0
0.368285866	0.034273412	0
0.357526244	0.006144798	0
0.279538259	0.01271361	0
0.342284634	0.008962786	0
0.347312969	0.021255079	0
0.363832193	0.020902198	0
0.360635427	0.044406618	0
0.327639843	0.042655605	0
0.320549944	0.05962444	0
0.302823484	0.066302235	0
0.328835476	0.075422508	0
0.293255808	0.099898061	0
0.319236349	0.065079415	0
0.588818089	0.109861707	0
0.280800337	0.028283556	0
0.292753243	0.054461905	0
0.299004225	0.043837257	0
0.272860609	0.023180716	0
0.301529914	0.111154541	0
0.285219066	0.008499024	0
0.261826466	0.003889236	0
0.284482942	0.22417622	0
0.301623019	0.024344685	0
0.337576616	0.033498132	0
0.330520998	0.033845071	0
0.325285727	0.036650232	0
0.361311328	0.005281243	0
0.347154336	0.017856042	0
0.31448172	0.016237892	0
0.315323785	0.008313031	0
0.281481416	0.014632343	0
0.328066785	0.012140184	0
0.359680824	0.017359669	0
0.402180086	0.046069065	0
0.304052252	0.056299877	0
0.292092875	0.049147258	0
0.317998503	0.031627506	0
0.253309729	0.019080302	0
0.311415121	0.039584857	0
0.305564116	0.043363398	0
0.296070246	0.032050731	0
0.286601117	0.18082744	0
0.291855668	0.024238817	0
0.355374479	0.010859339	0
0.298671342	0.161265688	0
0.321376357	0.017680989	0
0.330219175	0.014312454	0
0.32424261	0.013821386	0
0.305893485	0.206895258	0
0.344044624	0.029330653	0
0.315535735	0.022228916	0
0.339280876	0.01846046	0
0.289566796	0.030060411	0
0.370617168	0.132617756	0
